Subagencia,Desc_Subagencia,Latitud,Longitud
10197,CMM M Tijuana,32.48312558,-116.9491283
10203,CMM San Luis,32.4482033,-114.775272
10198,CMM Peñasco,31.41982985,-113.4124886
10204,CMM Ensenada,31.85032857,-116.6114569
10199,CMM Mexicali,32.51557115,-115.3886741
10146,CMM M Chihuahua,28.67904661,-106.0486095
10206,CMM Cuauhtemoc,28.36069651,-107.0731355
10207,CMM Nuevas CasasGra,30.39053671,-107.8485287
10156,CMM Juarez,31.61878954,-106.393345
10209,CMM Cuencame,25.02754138,-76.32565498
10211,CMM Galeana,24.77140912,-100.2548275
10212,CMM Parras de la fue,25.50321063,-102.1178316
10158,CMM Durango,24.21094634,-104.5137136
10214,CMM Vicente Guerrero,23.80740717,-104.0771239
10215,CMM Santiago Papasqu,25.09734363,-105.4836067
10216,CMM Santa Ma del Oro,25.7743692,-105.1717008
10217,CMM Sabinas,27.85996877,-101.1352703
10218,CMM Piedras Negras,28.91122882,-100.8277129
10129,CMM M Guadalajara,20.61679494,-103.3938539
10130,CMM Zapopan,20.73445632,-103.3672641
10131,CMM Tlaquepaque,20.60627638,-103.2667528
10159,CMM Autlan,19.92830965,-104.2646267
10133,CMM Talpa,20.42275188,-104.7453448
10134,CMM Ocotlan,20.35295694,-102.7085763
10135,CMM Sahuayo,20.0399914,-102.8318875
10136,CMM Tequila,20.84284255,-103.8833532
10161,CMM Manzanillo,19.16042804,-104.4384477
10141,CMM Valle de Bravo,19.20223613,-100.1215109
10169,CMM Chalma,18.95958369,-99.45026213
10229,CMM M Juchitan,16.46200361,-95.01431045
10231,CMM Maria Lombardo,17.39434931,-95.36893296
10259,CMM Ciudad Serdan,19.11699449,-97.44353066
10176,CMM Vicente Guerrero,18.52461695,-97.18096547
10003,CMM M Hermosillo,29.08765645,-110.9798549
10233,CMM Navojoa,26.97088638,-109.4381321
10234,CMM Guaymas,27.95210142,-110.8975649
10235,CMM Nogales,31.15289364,-110.9472871
10005,CMM Agua Prieta,31.19231169,-109.826171
10236,CMM Caborca,30.71873931,-112.147453
10237,CMM Moctezuma,29.91886124,-109.6103627
10006,CMM M Villahermosa,18.01959862,-92.97001716
10007,CMM Huimanguillo,17.92789574,-93.4893233
10008,CMM Paraiso,18.32935119,-93.20167509
10009,CMM Teapa,17.53142476,-92.97143334
10010,CMM Palenque,17.59333438,-91.88714792
10011,CMM M Minatitlan,17.97808006,-94.60810145
10012,CMM Cd. Isla,17.90594737,-95.57590687
10240,CMM Isla Mujeres,21.24756889,-86.74267019
10026,CMM San Cristobal,16.70640666,-92.60090092
10027,CMM Ocosingo,17.00098291,-92.09659783
10241,CMM Yajalon,17.19519947,-92.35466556
10031,CMM Cozumel,20.48452935,-86.95283128
10037,CMM M Mazatlan,23.22845133,-106.3737928
10038,CMM Guamuchil,25.50818489,-108.2150067
10039,CMM Los Mochis,25.83256482,-108.9889153
10040,CMM La Paz,24.04354499,-110.2855412
10041,CMM Sn Jose del Cabo,23.04404927,-109.8161306
10042,CMM Cd. Constitucion,25.1617192,-111.7913428
10043,CMM Loreto,25.86611849,-111.139466
10243,CMM Santa Rosalia,27.12786093,-112.3916955
10044,CMM Guerrero Negro,27.89495932,-113.8657979
10046,CMM El Fuerte,26.49173168,-108.5336138
10048,CMM Cuautla,18.80142678,-98.92785894
10050,CMM M Xalisco,21.45283094,-104.8611071
10183,CMM Ixtlan del Rio,21.01421707,-104.4543017
10245,CMM San Blas,21.5223555,-105.2300475
10246,CMM Acaponeta,22.44970988,-105.4212481
10186,CMM Tuxpan,20.98123847,-97.4325092
10188,CMM Martinez d l To,20.08553667,-96.87734412
10189,CMM Huauchinango,20.35299249,-97.88944382
10058,CMM Ciudad Victoria,23.76294205,-99.14512117
10059,CMM Soto La Marina,24.13571954,-96.98272169
10249,CMM Tula,23.06765485,-99.72517022
10060,CMM M Oaxaca,17.09349893,-96.74553638
10063,CMM Miahuatlan,16.34709097,-96.62680189
10073,CMM Los Reyes Mich,19.58973502,-102.4817119
10077,CMM Huetamo,18.68426616,-100.9401
10080,CMM Tepalcatepec,19.17988353,-102.7993703
10081,CMM Coalcoman,18.79077101,-103.159685
10082,CMM Aguililla,18.75268524,-102.7908551
10083,CMM M Celaya,20.52890824,-100.8494579
10087,CMM Guanajuato,20.95658003,-101.3712563
10091,CMM Leon,21.12312386,-101.665968
10092,CMM San Francisco,21.00072155,-101.8531109
10093,CMM Queretaro,20.62657553,-100.4114733
10096,CMM Chilapa,17.69983606,-99.15745861
10100,CMM M San Luis Potosí,22.21079738,-100.9563578
10254,CMM Santa Maria,21.81712445,-100.7168442
10105,CMM M Pachuca,20.14951902,-98.80345297
10106,CMM Tulancingo,20.0491645,-98.38479408
10110,CMM Tula,20.12463684,-99.25023098
10114,CMM San Bartolo,20.42146919,-98.13223171
10116,CMM M Apodaca,25.7114836,-100.217685
10194,CMM Lincoln,25.73848526,-100.248866
10257,CMM Montemorelos,25.39860496,-99.82670887
10258,CMM Sabinas,26.61779501,-100.1482534
10118,CMM M San Pablo,19.59539008,-99.19450921
10119,CMM Oceania,19.44607422,-99.1028509
10122,CMM Coacalco Metro,19.65331083,-99.10143411
10102,CMM Matehuala,23.53086406,-100.7115654